Node Name,Nodes - Point Location Data,Connecting Node Data
A,"{28.105089, 39.027915, 2}",
B,"{30.104928, 39.027915, 2}",
C,"{32.104766, 39.027915, 2}",
D,"{34.104605, 39.027915, 2}",
E,"{36.104444, 39.027915, 2}",
F,"{38.104282, 39.027915, 2}",
G,"{40.104121, 39.027915, 2}",
H,"{42.103959, 39.027915, 2}",
I,"{44.103798, 39.027915, 2}",
J,"{46.103636, 39.027915, 2}",
K,"{48.103475, 39.027915, 2}",
L,"{50.103313, 39.027915, 2}",
M,"{52.103152, 39.027915, 2}",
N,"{54.102991, 39.027915, 2}",
O,"{56.102829, 39.027915, 2}",
P,"{58.102668, 39.027915, 2}",
Q,"{60.102506, 39.027915, 2}",
R,"{62.102345, 39.027915, 2}",
S,"{64.102183, 39.027915, 2}",
T,"{66.102022, 39.027915, 2}",
U,"{68.10186, 39.027915, 2}",
V,"{70.101699, 39.027915, 2}",
W,"{72.101538, 39.027915, 2}",
X,"{74.101376, 39.027915, 2}",
Y,"{76.101215, 39.027915, 2}",
Z,"{28.105089, 37.027915, 2}",
A,"{30.104928, 37.027915, 2}",
B,"{32.104766, 37.027915, 2}",
C,"{34.104605, 37.027915, 2}",
D,"{36.104444, 37.027915, 2}",
E,"{38.104282, 37.027915, 2}",
F,"{40.104121, 37.027915, 2}",
G,"{42.103959, 37.027915, 2}",
H,"{44.103798, 37.027915, 2}",
I,"{46.103636, 37.027915, 2}",
J,"{48.103475, 37.027915, 2}",
K,"{50.103313, 37.027915, 2}",
L,"{52.103152, 37.027915, 2}",
M,"{54.102991, 37.027915, 2}",
N,"{56.102829, 37.027915, 2}",
O,"{58.102668, 37.027915, 2}",
P,"{60.102506, 37.027915, 2}",
Q,"{62.102345, 37.027915, 2}",
R,"{64.102183, 37.027915, 2}",
S,"{66.102022, 37.027915, 2}",
T,"{68.10186, 37.027915, 2}",
U,"{70.101699, 37.027915, 2}",
V,"{72.101538, 37.027915, 2}",
W,"{74.101376, 37.027915, 2}",
X,"{76.101215, 37.027915, 2}",
Y,"{28.105089, 35.027915, 2}",
Z,"{30.104928, 35.027915, 2}",
AA,"{32.104766, 35.027915, 2}",
AB,"{34.104605, 35.027915, 2}",
AC,"{36.104444, 35.027915, 2}",
AD,"{38.104282, 35.027915, 2}",
AE,"{40.104121, 35.027915, 2}",
AF,"{42.103959, 35.027915, 2}",
AG,"{44.103798, 35.027915, 2}",
AH,"{46.103636, 35.027915, 2}",
AI,"{48.103475, 35.027915, 2}",
AJ,"{50.103313, 35.027915, 2}",
AK,"{52.103152, 35.027915, 2}",
AL,"{54.102991, 35.027915, 2}",
AM,"{56.102829, 35.027915, 2}",
AN,"{58.102668, 35.027915, 2}",
AO,"{60.102506, 35.027915, 2}",
AP,"{62.102345, 35.027915, 2}",
AQ,"{64.102183, 35.027915, 2}",
AR,"{66.102022, 35.027915, 2}",
AS,"{68.10186, 35.027915, 2}",
AT,"{70.101699, 35.027915, 2}",
AU,"{72.101538, 35.027915, 2}",
AV,"{74.101376, 35.027915, 2}",
AW,"{76.101215, 35.027915, 2}",
AX,"{28.105089, 33.027915, 2}",
AY,"{30.104928, 33.027915, 2}",
AZ,"{32.104766, 33.027915, 2}",
BA,"{34.104605, 33.027915, 2}",
BB,"{36.104444, 33.027915, 2}",
BC,"{38.104282, 33.027915, 2}",
BD,"{40.104121, 33.027915, 2}",
BE,"{42.103959, 33.027915, 2}",
BF,"{44.103798, 33.027915, 2}",
BG,"{46.103636, 33.027915, 2}",
BH,"{48.103475, 33.027915, 2}",
BI,"{50.103313, 33.027915, 2}",
BJ,"{52.103152, 33.027915, 2}",
BK,"{54.102991, 33.027915, 2}",
BL,"{56.102829, 33.027915, 2}",
BM,"{58.102668, 33.027915, 2}",
BN,"{60.102506, 33.027915, 2}",
BO,"{62.102345, 33.027915, 2}",
BP,"{64.102183, 33.027915, 2}",
BQ,"{66.102022, 33.027915, 2}",
BR,"{68.10186, 33.027915, 2}",
BS,"{70.101699, 33.027915, 2}",
BT,"{72.101538, 33.027915, 2}",
BU,"{74.101376, 33.027915, 2}",
BV,"{76.101215, 33.027915, 2}",
